alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,sigma_v,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
1.95065,-0.491003,0.330401,0.227388,0.0774477,0.53391,0.175366,-0.149918,0.342625,0.28657,0.21624,0.226916,-0.361585,0.132503,-0.181777,0.484371,0.142296,-0.190074,-0.223697,0.194094,0.204352,0.225861,0.048891,-0.0100815,0.0163373,-0.0476693,0.0895571,-0.135142,-0.0799677,-0.0611349,-0.0758676
1.85467,-0.216433,0.336604,0.0551441,0.147543,0.444997,0.104779,-0.233141,0.353803,0.178581,0.0791256,-0.014376,-0.287087,-0.0240921,-0.326859,0.504843,0.196703,0.167921,-0.2764,0.258517,0.133874,0.139334,0.0953959,0.346903,-0.00603924,0.0229637,0.116344,0.24587,-0.10015,-0.211381,-0.18615
1.78548,-0.557719,0.257455,0.484431,0.424452,0.63726,0.609276,-0.193977,0.349698,0.167005,0.0778201,0.141649,-0.141342,0.154911,0.0398056,0.476052,0.150038,-0.107406,-0.120569,0.227127,-0.0972531,0.107918,0.110527,-0.00920123,0.00240924,0.0830857,0.198143,0.194547,0.0285477,0.118946,0.0408403
1.75318,-0.265378,0.353014,0.152064,0.359632,0.779686,0.305414,-0.224905,0.364039,0.022987,0.00261092,-0.0276847,-0.0531735,-0.0133342,0.0521512,0.456595,0.104662,0.0289666,-0.22335,0.107832,-0.0953583,-0.000334366,0.0110297,-0.0679898,-0.0985088,0.00863914,-0.00330127,-0.0278222,-0.156796,-0.215716,-0.100447
1.63969,-0.28673,0.216945,0.590559,0.340188,0.490547,0.318634,-0.170982,0.375199,0.137769,0.105211,0.173891,-0.214991,0.03342,-0.183328,0.57188,0.159981,0.0475171,-0.121162,0.264054,-0.307824,0.193004,0.122953,0.202431,0.056428,0.0580269,0.0935326,0.173031,-0.0751603,0.0422286,0.130474
1.65247,-0.453357,0.284832,0.606237,0.576183,0.99822,0.98601,-0.194239,0.317089,0.159048,0.0165281,-0.0247415,-0.390387,0.0714998,-0.160429,0.439285,0.280315,-0.126364,-0.160583,0.291172,0.405654,0.194751,0.0902279,8.11019e-05,-0.00586487,0.0209075,0.178258,0.387076,-0.0226977,-0.156034,-0.121063
1.49072,-0.311739,0.244776,0.383587,0.412552,0.744734,0.478355,-0.270757,0.374613,0.0652831,0.0200417,0.0412136,-0.0321965,0.00456195,-0.0496229,0.509353,0.160443,-0.00414299,-0.187352,0.202666,-0.0468925,0.134202,-0.0292081,-0.249223,-0.0604397,0.01005,0.0379729,0.0279581,-0.149091,-0.150408,-0.158766
1.75732,-0.505699,0.471531,0.648236,0.510389,0.653917,0.0666268,-0.227608,0.355561,0.118943,0.129683,0.180622,-0.110744,0.0821663,-0.0792498,0.501017,0.149753,-0.159111,-0.301918,0.156769,-0.155832,0.0238584,0.0257915,-0.0183173,-0.0325753,-0.129995,-0.0574816,0.108669,-0.171249,-0.134825,-0.133909
1.69205,-0.13896,0.459891,0.290288,0.230726,0.507238,0.646556,-0.219915,0.359612,0.0876192,-0.000717944,0.250276,-0.0323506,0.0865422,-0.248517,0.482033,0.139739,-0.166924,-0.281504,0.17928,-0.120867,0.0544783,0.0208175,0.182462,0.0549069,-0.0630863,0.141705,0.0981511,-0.133558,-0.103569,-0.118666
1.86155,-0.378311,0.189626,0.171877,0.354552,0.601747,0.523272,-0.243416,0.346764,0.183955,0.246675,0.119182,-0.101839,0.0645469,-0.222885,0.475607,0.101362,-0.203299,-0.239073,0.133625,-0.261958,0.0542023,-0.014158,0.165183,-0.100792,-0.060974,0.023423,0.0679856,-0.214781,-0.0378306,-0.0702514
1.7862,-0.41554,0.16311,0.491043,0.414135,0.626861,0.33991,-0.195403,0.346149,0.107768,0.113495,0.0996237,-0.115945,-0.0942676,-0.119383,0.496875,0.101788,0.037373,-0.214973,0.178324,-0.0985238,0.17768,0.0670202,0.0785926,-0.0280242,0.0389245,0.0989103,0.16893,-0.0161576,-0.0219697,-0.0669021
1.75047,-0.262032,0.129207,0.320163,0.448297,0.974477,0.857068,-0.228331,0.350732,0.181174,0.13434,0.233926,-0.122716,0.133032,-0.268133,0.456815,0.104465,-0.143882,-0.236226,0.137672,0.0805256,0.101525,-0.0072039,0.0752262,-0.0949398,-0.100943,0.121829,0.000928807,-0.135943,-0.227269,-0.139718
1.85236,-0.440884,0.294209,0.283726,0.314801,0.442635,0.378133,-0.239695,0.363462,0.328193,0.406658,0.13486,-0.24477,0.086987,-0.17978,0.467802,0.146432,0.0322361,-0.23206,0.233478,0.228388,0.196561,0.0431672,0.125136,-0.0450309,-0.0564526,0.00521151,0.0744094,-0.1647,-0.183005,-0.129669
2.09737,-0.422128,0.491439,0.0405324,0.0546926,0.0953054,0.054518,-0.16623,0.3306,0.1411,0.299598,0.146306,-0.154789,0.000643214,-0.167382,0.5061,0.158828,0.064894,-0.206882,0.175184,0.0234645,0.0563824,0.00701709,0.135705,-0.191799,0.0113001,-0.0105234,0.0598268,-0.165378,-0.227115,-0.192826
2.05955,-0.620596,0.30437,0.357121,0.226503,0.291267,0.198083,-0.182903,0.357088,0.135408,0.162601,0.0453636,-0.147038,0.176195,-0.065586,0.506596,0.146654,-0.160898,-0.16936,0.212606,-0.154597,0.233776,0.0905428,0.177566,0.00306336,0.00965856,0.262706,-0.102,-0.0195657,-0.185543,-0.188907
1.81403,-0.309945,0.174533,0.207311,0.352047,0.392737,0.340414,-0.179284,0.350938,0.137732,0.196271,0.223496,-0.126866,0.0378419,-0.0509065,0.49565,0.139066,0.0338381,-0.170736,0.238763,0.143202,0.177004,0.0676244,0.0185965,-0.0531395,0.0987977,0.181986,0.0415588,-0.0218899,-0.150141,-0.111943
1.78077,-0.568317,0.0917891,0.672933,0.532591,0.794311,0.92693,-0.235285,0.348726,0.10359,0.187427,0.132445,-0.0790607,0.124701,-0.0141149,0.484022,0.0991201,-0.00897715,-0.130622,0.153955,-0.0187987,0.199492,0.0764424,0.0844183,-0.018084,0.0240097,0.0757792,0.26171,-0.133657,-0.110153,-0.13337
1.55944,-0.296776,0.353839,0.562101,0.514607,0.857105,0.492814,-0.225709,0.338279,0.192622,0.239659,0.129083,-0.292375,0.0869047,-0.0680705,0.553874,0.281385,-0.331051,-0.304621,0.192834,0.187594,0.226354,-0.0430288,0.17511,-0.0712445,-0.118266,-0.00929375,0.00989527,-0.188107,-0.309755,0.0549168
