alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
1.78776,-0.395222,0.287101,0.132483,0.196877,0.458897,0.372252,-0.175842,-0.301799,0.1291,0.331075,0.212427,0.193252,0.458838,-0.197398,0.225256,0.164037,0.385526,-0.0509503,-0.193287,0.256795,0.128616,0.0967467,0.0710799,0.227572,0.0129263,-0.0856822,0.102388,0.137612,-0.057984,-0.364269,-0.135741
1.9899,-0.186277,0.280514,0.324521,0.41884,0.316331,-0.0878647,-0.0985989,-0.343151,0.175164,0.337528,0.242278,-0.243849,0.0405488,-0.39147,-0.003632,-0.100038,0.474407,0.0647893,-0.280853,0.134055,-0.159117,0.114151,0.0834575,0.0104699,0.00594543,-0.00584313,0.14301,0.123298,-0.119662,-0.167219,-0.131682
2.24161,-0.387977,0.20316,-0.269595,0.0544443,-0.020895,-0.0212572,-0.141824,-0.408019,0.187489,0.375656,0.0367885,-0.0167568,0.0504448,0.0163964,-0.00771551,-0.0640835,0.415313,-0.0763686,-0.143127,0.299096,-0.0995424,0.143109,0.136533,0.0597887,0.10277,-0.0168307,0.219635,0.0669854,0.0252417,-0.0284824,-0.135703
2.23586,-0.412785,0.0638397,-0.0490136,0.151325,0.253216,-0.00646666,-0.126591,-0.3276,0.115834,0.347074,0.113312,0.0622062,0.0293299,-0.234054,0.0247979,0.0820084,0.409159,0.161404,-0.192783,0.2334,0.190769,0.152991,0.0946128,0.0804347,0.0885403,-0.081784,0.15289,0.103238,0.0106406,-0.176198,0.163724
2.07143,-0.401392,0.216327,0.320952,0.172579,0.432096,-0.00367218,-0.160944,-0.328091,0.14253,0.343632,0.17519,-0.178045,0.105246,-0.30969,0.282022,0.0638934,0.37465,-0.20335,-0.173242,0.158929,-0.0874742,0.111631,-0.0424032,0.194427,-0.0805061,-0.0217729,0.0753317,0.0770468,-0.0893032,-0.211401,-0.0704845
2.1378,-0.417677,0.186313,0.139933,0.180019,0.371379,0.189327,-0.181364,-0.26789,0.100211,0.368759,0.12425,-0.0694099,0.0977863,-0.194602,0.0415171,-0.00653432,0.389386,-0.0816781,-0.22526,0.0886957,0.170788,0.18333,-0.0339321,0.0425201,-0.0388915,-0.0850806,0.0119205,-0.035327,-0.0803384,-0.215193,-0.269023
1.9652,-0.242952,0.207859,0.129015,0.105623,0.246171,0.124176,-0.183306,-0.181295,0.151874,0.378939,0.164243,0.0154721,0.297425,-0.407389,0.151708,-0.0954938,0.375854,-0.0864567,-0.0837215,0.232056,-0.0258845,0.191069,0.0513354,0.0723252,0.0337374,0.0127252,0.127481,-0.0563956,-0.0370688,-0.117945,-0.0922055
2.1169,-0.407454,0.0520755,0.192658,0.22974,0.648985,0.241323,-0.214245,-0.177105,0.142398,0.32842,0.216029,0.18824,0.203708,-0.261902,0.224372,-0.079396,0.415522,-0.0675072,-0.22731,0.176698,-0.079468,0.0377184,-0.00744708,0.0814179,-0.066237,-0.0305145,0.0166102,0.109222,-0.114328,-0.233871,-0.023209
2.01605,-0.267651,0.100373,0.0441377,0.140864,0.362328,-0.0389393,-0.141031,-0.236712,0.152186,0.333716,0.228647,0.217966,0.258023,-0.167431,0.176142,0.0743083,0.449354,0.0552219,-0.13537,0.113886,-0.0725087,0.0420705,-0.00138244,0.0328142,-0.0199956,0.0346052,-0.0548671,0.207629,-0.111242,-0.0668276,-0.00806585
2.18685,-0.367673,-0.0068821,0.0586291,0.255268,0.453808,0.17153,-0.1288,-0.219549,0.183017,0.36041,0.168256,0.126427,0.203691,-0.173431,-0.0747044,-0.128278,0.417188,0.0189989,-0.232267,0.232335,0.0483626,0.154563,0.0704994,0.250763,-0.0402201,-0.041218,0.0736816,0.00661452,-0.211376,-0.14537,0.02112
1.81508,-0.408374,0.266823,0.206594,0.326515,0.551946,0.00797744,-0.153093,-0.185588,0.173762,0.340194,0.24466,0.0611942,0.333012,-0.20032,0.233771,0.0981059,0.377943,-0.0840601,-0.155613,0.132727,0.0322599,0.150984,0.0451659,0.0319524,-0.0183542,0.0247969,0.0715302,0.034778,-0.126426,-0.12358,-0.101282
2.32397,-0.408236,0.0791808,-0.00297448,-0.0241828,0.26274,-0.261403,-0.191308,-0.203164,0.158147,0.367298,0.202898,-0.0248739,0.195102,-0.174193,0.114925,0.017753,0.38053,0.149928,-0.146936,0.202698,-0.0455265,0.0953036,0.0649649,0.0794281,-0.00590968,-0.0196395,0.0580104,0.254682,-0.0525572,-0.167426,-0.092173
2.42571,-0.467614,0.128372,0.0541073,0.0630479,0.020012,-0.477922,-0.0163278,-0.304323,0.152994,0.352918,0.201344,-0.0524397,0.201094,-0.339007,-0.0767542,0.0452297,0.411288,-0.0806902,-0.21739,0.179033,0.102883,0.127529,-0.0454331,-0.0243631,-0.120036,-0.019149,0.0787277,0.162728,-0.0857431,-0.011453,0.0329997
2.41373,-0.510702,0.0275442,-0.0618319,-0.0969986,0.0523327,0.0232936,-0.114279,-0.291922,0.177579,0.36645,0.109589,0.0772957,0.188836,-0.20171,0.0663144,0.00464662,0.428219,0.0900102,-0.064023,0.194633,-0.0578438,0.243049,0.0486805,0.0897884,0.0873681,-0.0471389,0.041254,0.240211,-0.0175608,-0.203207,-0.0752698
2.11138,-0.468323,0.104482,0.0521912,0.238909,0.443066,0.0267367,-0.0552506,-0.331962,0.0860882,0.330835,0.100426,0.0738435,0.170901,-0.284846,0.182903,0.0790439,0.428905,-0.0647988,-0.0944885,0.259402,-0.0672392,0.208961,0.119402,0.0668089,-0.00247778,0.0288317,0.120528,0.119142,-0.0928956,-0.205598,-0.0322086
1.87297,-0.245606,0.318819,0.101021,0.0712956,0.574942,-0.0641824,-0.138362,-0.195428,0.113578,0.368113,0.123002,0.0896313,0.136412,-0.127814,0.203593,0.0777418,0.397485,-0.0992255,-0.2829,0.11983,0.225961,0.102122,-0.0226873,0.128038,-0.0418416,-0.0813044,0.00992006,-0.0361554,-0.172753,-0.309586,-0.106551
2.1675,-0.411316,0.103074,0.260152,0.219849,0.425469,0.393702,-0.114233,-0.278171,0.175705,0.337919,0.278936,-0.236579,0.287689,-0.456291,0.202245,0.0043787,0.406209,-0.022059,-0.27335,0.163904,-0.0283024,-0.00171719,-0.031115,0.122208,-0.102133,-0.0777582,-0.0222083,0.181549,-0.187281,-0.292485,-0.261491
2.11666,-0.184099,-0.00419028,0.186219,0.491534,0.578524,0.050462,-0.144888,-0.316108,0.248155,0.345961,0.179203,-0.118246,0.210645,-0.375603,-0.134929,0.0118067,0.396116,-0.109446,-0.176872,0.162989,0.24352,0.128357,-0.020033,-0.195475,-0.030751,-0.0372134,0.00572011,0.127959,-0.0515246,-0.0169219,-0.00180291
1.98282,-0.325024,0.149116,0.164965,0.218908,0.413516,0.142464,-0.15545,-0.247539,0.111812,0.34462,0.0440294,0.0285176,0.0299847,-0.0566416,-0.0592393,0.0657983,0.447219,0.137439,-0.0587291,0.31162,0.133663,0.198458,0.210039,0.344189,0.074644,0.141268,0.243724,0.0664122,0.0436299,0.0132616,-0.139054
2.01077,-0.416822,0.286653,0.145637,0.140274,0.254311,-0.128582,-0.145727,-0.227248,0.0734397,0.360412,0.0359304,0.00206606,0.029226,-0.0565816,0.00336394,-0.0165872,0.43052,-0.115826,-0.0755057,0.309058,0.216234,0.258602,0.149038,0.226549,0.0772412,0.00283047,0.16446,0.178762,-0.015281,0.0745827,-0.235011
1.92024,-0.20505,0.184987,0.118489,0.208414,0.289406,-0.0709786,-0.0789197,-0.353967,0.078886,0.351374,0.1771,-0.0719636,0.210565,-0.154985,0.165237,0.187405,0.393658,0.256323,-0.143189,0.347759,0.181957,0.258605,0.145577,0.10069,0.0139587,0.0148077,0.274824,0.421745,-0.0509769,-0.289674,-0.0899976
2.30337,-0.426674,0.130003,-0.025684,-0.0689714,0.275493,-0.0310609,-0.149198,-0.154171,0.104056,0.373944,0.176529,-0.00833794,0.151458,-0.646059,-0.119764,-0.242239,0.384027,-0.0406304,-0.129135,0.226604,-0.120859,0.16961,0.104456,0.0495327,0.0303567,-0.0910204,0.134775,0.118959,-0.062445,-0.180757,-0.00279355
2.17105,-0.337796,0.16023,-0.0802979,0.0125513,0.25844,-0.457866,-0.167118,-0.30415,0.141637,0.345558,0.269267,0.0647521,0.28021,-0.176534,0.0387412,0.125728,0.431781,-0.0992123,-0.0839176,0.218935,0.226055,0.142989,0.0713922,0.0188433,-0.00740703,-0.0124382,0.137786,0.167409,-0.0166933,0.103629,-0.217634
2.25474,-0.440139,0.136976,-0.16969,-0.141313,0.3073,-0.604715,-0.126754,-0.263347,0.121328,0.372288,0.243371,0.332987,0.230748,-0.139106,0.0671285,0.0708592,0.456055,0.01375,-0.127203,0.175453,0.00588107,0.0384612,0.00885983,-0.0239455,0.0245789,0.0188561,-0.0392311,0.161928,-0.0922242,-0.228752,-0.181558
2.15823,-0.345313,0.0142652,0.0244311,0.27835,0.470702,0.0380692,-0.236554,-0.189715,0.121381,0.368932,0.271388,0.240577,0.284079,-0.281317,0.0690832,0.0415738,0.410735,-0.244635,-0.28052,0.0506973,0.08072,0.193553,-0.110234,0.0787989,-0.211739,-0.139642,-0.047549,0.145807,-0.224583,-0.410385,-0.469732
1.88332,-0.309745,0.181709,0.234985,0.299489,0.407979,0.0595677,-0.155333,-0.252424,0.106648,0.329463,0.0749894,0.0165118,0.14591,-0.180431,0.0818489,-0.0297452,0.402344,-0.171519,-0.179733,0.236989,-0.0180707,0.0772318,0.106318,0.134522,0.0965429,-0.00760372,0.119841,0.292828,-0.143881,-0.360077,-0.0779244
1.76623,-0.352628,0.196238,0.37752,0.280403,0.693026,0.392337,-0.144445,-0.194723,0.129793,0.345672,0.177385,-0.0670748,0.22085,-0.401306,0.0801648,0.0897774,0.387836,0.0605748,-0.211272,0.304109,0.242055,0.222733,0.198389,0.245322,0.0861391,0.128247,0.151214,0.230522,-0.00772219,-0.185127,0.00349154
2.07334,-0.194201,0.134785,0.193014,0.0893456,0.652013,0.0382902,-0.0714591,-0.415434,0.15356,0.340679,0.235415,-0.179778,0.0926434,-0.422229,0.0813598,0.17809,0.39587,-0.0404485,-0.193417,0.149098,0.0101484,-0.0113103,0.0412036,-0.0187633,-0.0875914,0.00424324,0.0461139,0.175477,-0.0503983,-0.131136,-0.0832513
1.82969,-0.255902,0.297114,0.271167,0.329121,0.625986,0.203792,-0.14692,-0.241586,0.0851292,0.349629,0.278326,-0.0675795,0.176511,-0.40311,0.0660671,0.052693,0.420215,0.0566967,-0.297144,0.174124,0.07674,0.172319,0.0666594,0.291109,-0.00699765,0.00783521,0.115622,-0.0204812,-0.229176,-0.318241,-0.0252518
2.11159,-0.324051,0.208665,-0.0658412,0.096101,0.251496,-0.044923,-0.149631,-0.346539,0.190608,0.368757,0.189379,-0.0491531,0.289853,-0.361968,0.192664,-0.0686513,0.414969,-0.138091,-0.141161,0.214272,-0.137536,0.277984,0.0461946,0.108464,-0.0149695,0.0333095,0.165378,0.0255413,0.0118085,-0.348065,-0.0636657
2.22031,-0.441934,0.167709,-0.0549774,0.0274826,0.225171,0.056853,-0.132057,-0.248331,0.132492,0.331688,0.0887994,0.0556559,0.14219,-0.186113,0.200123,0.0835147,0.483563,-0.156456,-0.237272,0.136149,-0.0921408,0.0408965,0.010568,0.0171109,-0.0395408,0.00242604,0.0531894,0.215897,-0.0812454,0.013484,-0.0173867
2.25994,-0.465833,0.0896372,0.173228,0.248663,0.288078,-0.155511,-0.138716,-0.321517,0.223748,0.351027,0.18639,-0.16454,0.126166,-0.260202,0.0325621,-0.0151832,0.492267,-0.10333,-0.238457,0.15332,0.186828,0.217021,0.0354791,0.0619529,-0.00202252,0.0161023,0.0905189,0.10242,-0.112094,-0.338496,-0.280245
2.37034,-0.435351,-0.0394099,-0.0260604,0.192607,0.329833,0.0455482,-0.177265,-0.321128,0.134343,0.355336,0.124136,0.0972297,0.0648421,-0.235078,-0.0226796,-0.155129,0.434352,-0.0785712,-0.135678,0.210703,-0.131702,0.119307,0.0466785,0.0598689,0.0480729,0.126926,0.178974,0.0922718,-0.0187112,-0.269877,0.0923824
1.85905,-0.212736,0.181645,0.211144,0.428404,0.39151,0.159999,-0.0953904,-0.289354,0.235016,0.342655,0.256449,0.0929672,0.348616,-0.430791,0.183154,0.16005,0.404386,-0.0294801,-0.132941,0.0921313,0.222774,0.140819,0.059263,0.0338644,0.0859686,-0.00601402,0.0575713,0.144402,-0.0409409,-0.0764616,-0.292804
2.00544,-0.406264,0.229512,0.190633,0.434816,0.357753,0.0502534,-0.149717,-0.221643,0.136401,0.349403,0.129171,0.0726976,0.163492,-0.100413,-0.00582994,0.0949124,0.478239,-0.29799,-0.282307,0.063539,-0.318249,0.0578476,-0.133431,0.311083,-0.150015,-0.182624,-0.0506928,0.158433,-0.1977,-0.386885,-0.342304
2.05279,-0.422038,0.182038,0.185967,0.162665,0.476143,0.220579,-0.195867,-0.350127,0.17386,0.337676,0.119652,-0.0111996,0.0159838,-0.207399,-0.102509,0.105286,0.382436,-0.178319,-0.225765,0.14922,-0.0826934,0.133215,-0.0302863,0.190461,-0.0588989,0.0054883,0.0671886,-0.00211447,-0.0904218,-0.17766,-0.102417
2.10256,-0.350736,-0.0230017,0.0402081,0.0721319,0.285622,0.0848102,-0.208361,-0.159733,0.134255,0.346918,0.2292,0.389168,0.458627,-0.0974385,0.256447,0.0927213,0.402357,-0.237734,-0.364836,0.167058,0.215633,0.0975113,-0.0224641,0.0179554,-0.0659032,-0.0513958,-0.0245031,0.235619,-0.236724,-0.0571821,-0.0224797
2.22144,-0.333916,0.0290705,0.0192845,0.111412,0.36515,0.0303968,-0.143295,-0.39431,0.140681,0.359535,0.189715,-0.00203195,0.217726,-0.29132,0.0851322,0.0544836,0.417143,-0.150405,-0.223172,0.0839646,0.0399526,0.0776582,-0.0110779,0.0099812,-0.0272996,-0.00194648,0.0763228,0.111718,-0.030171,-0.0835214,-0.110023
2.13518,-0.434692,0.296973,0.0870794,0.19444,0.373716,-0.164131,-0.145567,-0.303316,0.162807,0.359574,0.151678,-0.0980424,0.19625,-0.285351,-0.0366856,0.0884834,0.409771,-0.0564836,-0.124097,0.197574,0.180765,0.25344,0.0858852,0.0888515,-0.0433229,0.067897,0.0639548,0.0586781,-0.0117712,-0.175492,-0.00580353
2.28384,-0.347451,0.14334,-0.09221,0.0867249,0.223254,-0.302858,-0.0924287,-0.30927,0.144435,0.337219,0.170498,0.132143,0.214633,-0.408049,-0.00404675,-0.0907964,0.419191,-0.0632185,-0.270452,0.250309,-0.00947833,0.188863,0.067977,0.0952035,0.0292128,-0.032255,0.0924506,0.299653,-0.0838556,-0.0841074,0.042718
