alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
1.01654,-0.424596,0.398021,0.824081,0.455168,0.979989,1.0631,-0.260872,0.751217,0.375848,-0.0244875,0.407922,-0.553257,-0.0146526,-0.416404
1.00503,-0.435743,0.483258,0.642387,0.395364,0.829478,0.747226,-0.181797,0.769329,0.151082,0.247483,0.21657,-0.165383,0.179525,-0.231749
1.10927,-0.460793,0.382781,0.835056,0.675059,0.818324,0.72202,-0.2423,0.654875,0.121395,0.123557,0.0376672,-0.22578,-0.243153,-0.130786
1.10316,-0.43535,0.391356,0.530251,0.192724,0.881531,0.895091,-0.346996,0.780604,0.29538,0.296552,0.32499,-0.407967,0.150721,-0.0739982
1.30306,-0.527454,0.480574,0.31384,0.421428,0.812,0.161971,-0.216615,0.681715,0.292275,0.250244,0.205607,-0.563087,-0.264485,-0.188657
0.813017,-0.351742,0.621749,0.527779,0.598394,0.962308,0.912662,-0.287194,0.682857,0.465424,0.374685,-0.0557236,-0.662463,-0.131653,-0.200045
0.894164,-0.575162,0.453764,0.8667,0.651145,1.00514,0.805364,-0.234705,0.771516,0.339936,0.514174,0.0289082,-0.395541,-0.0178573,0.049121
0.651456,-0.435697,0.29269,0.507339,0.490667,0.982217,0.563809,-0.277625,0.62851,0.583797,0.632776,0.536193,-0.393841,0.196308,0.0956578
1.18042,-0.449345,0.21408,0.769542,0.489717,0.935013,0.547199,-0.16717,0.6848,0.354858,0.38752,0.148006,-0.235467,-0.27414,-0.0604069
0.774727,-0.435041,0.353308,0.681696,0.706854,1.1657,1.08603,-0.321831,0.653041,0.218344,0.51088,0.254254,-0.383468,-0.0148966,-0.120826
0.633823,-0.371143,0.380618,1.24925,0.744203,1.42671,0.816262,-0.258666,0.787428,0.324693,0.231997,-0.0604343,-0.536493,-0.169194,0.161367
1.07356,-0.613571,0.42126,0.607044,0.626871,0.777749,0.71447,-0.255851,0.769229,0.305297,0.305911,0.236458,-0.206378,-0.189661,-0.0472677
1.21547,-0.628413,0.125239,1.03033,0.330503,0.920223,0.689758,-0.245749,0.749098,0.503336,0.334886,0.166485,-0.140701,-0.252298,-0.180405
0.519307,-0.357287,0.183397,1.08987,1.13982,1.41632,1.79546,-0.339922,0.6998,0.354606,0.309888,0.491203,-0.308568,-0.0879221,-0.0913612
1.58815,-0.542281,0.397535,0.188338,0.122409,0.551037,0.409326,-0.30825,0.727635,0.274037,0.11202,0.212628,-0.730864,-0.258472,-0.43945
1.35778,-0.295754,0.321633,0.744762,0.398156,0.986071,0.883874,-0.222921,0.746272,0.724113,0.0104266,-7.80585e-05,-0.793352,-0.376181,-0.532688
1.22098,-0.463409,0.489866,0.496048,0.511659,0.917257,1.06294,-0.37882,0.770213,0.350519,0.320784,-0.290185,-0.824327,-0.20853,-0.694755
1.36884,-0.747207,0.33914,0.364394,0.330723,0.82441,0.345469,-0.202895,0.789942,0.446223,0.389587,0.377923,-0.45908,-0.0963115,0.0512633
1.57501,-0.793009,0.0240768,0.494677,0.229678,0.601095,0.488084,-0.161434,0.752007,0.246102,0.319445,0.338097,-0.284504,0.161996,0.0131288
1.61076,-0.694621,0.164679,0.674708,0.284213,0.877287,0.387682,-0.242394,0.690781,0.214636,0.313121,0.106555,-0.494704,-0.237565,-0.257356
1.34908,-0.617778,0.272708,0.498894,0.136488,0.443711,0.813388,-0.226342,0.701659,0.378403,0.346819,0.540176,-0.576185,-0.000137465,-0.091983
0.836386,-0.292128,0.889087,0.662349,0.322417,0.780701,0.433696,-0.147803,0.668451,0.255451,-0.0720095,0.114948,-0.614111,0.00641538,-0.0778389
1.71481,-0.450558,0.268844,0.582823,0.429674,0.564105,0.886453,-0.330411,0.762018,0.74139,-0.115769,-0.283076,-0.991703,-0.484028,-0.755123
1.35132,-0.691912,0.353603,0.792511,0.36454,0.922167,0.774895,-0.302609,0.729949,0.364147,0.225397,-0.253414,-0.530127,-0.23454,-0.112563
0.821481,-0.527931,0.215622,1.08086,0.875212,1.08583,0.893081,-0.233036,0.682995,0.156117,0.127031,0.266796,-0.0835283,0.0889416,-0.130756
1.27319,-0.55829,0.0985807,0.626534,0.480767,1.26844,1.28167,-0.388274,0.685293,0.349894,0.41003,0.155699,-0.880418,-0.195979,-0.364117
0.914811,-0.331026,0.3057,0.75838,0.563893,1.04653,0.606163,-0.297506,0.652444,0.270022,0.284029,0.173388,-0.376586,-0.0158909,-0.143194
1.34517,-0.782217,0.329874,0.425907,0.353611,1.02369,0.914002,-0.286867,0.686499,0.460977,0.404879,0.200828,-0.505546,-0.242102,-0.0781019
1.03551,-0.104731,0.352454,0.864564,0.857377,1.12606,0.676016,-0.241492,0.768615,0.551999,-0.0107438,-0.133001,-1.02944,-0.755455,-0.480764
1.14265,-0.510495,0.53355,0.623276,0.537028,0.534929,0.36798,-0.175512,0.755052,0.450058,0.200248,0.0977851,-0.444723,-0.417871,0.154087
1.34795,-0.59475,0.380589,0.524399,0.314672,0.857119,0.628919,-0.243082,0.659167,0.302028,0.263233,0.188899,-0.667623,-0.0857662,0.0183117
0.762559,-0.388846,0.422421,0.728301,0.818559,1.08502,0.583214,-0.321358,0.743475,0.215724,0.424303,0.186216,-0.234697,-0.0857719,-0.0367897
1.0194,-0.530901,0.491342,0.79261,0.169321,0.919284,0.645856,-0.313992,0.672215,0.50571,0.471102,0.303569,-0.636745,0.2519,-0.0517082
0.819573,-0.440705,0.543733,0.98332,0.907389,1.20229,1.4048,-0.319762,0.739916,0.703894,-0.224491,-0.125424,-0.8027,-0.147963,-0.585208
