alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
2.29059,-0.526086,-0.0361839,-0.0631418,0.341429,0.394316,0.203294,-0.100761,-0.211675,0.145054,0.592763,0.545866,0.132186,0.264582,-0.559356,0.281824,0.0500828
2.18408,-0.502798,-0.130678,0.274942,0.447073,0.75635,0.370512,-0.201211,-0.221531,0.171712,0.560452,0.024923,-0.0133745,-0.0260547,-0.00342665,0.0396447,0.00355312
1.76969,-0.201797,0.145167,0.207411,0.751456,0.87867,0.665448,-0.24259,-0.352117,0.1798,0.568095,0.21186,-0.111581,-0.0847669,-0.305825,-0.114019,0.0133251
2.06473,-0.430057,0.0162479,0.166697,0.438319,0.699475,0.595067,-0.168564,-0.186927,0.177374,0.534501,0.199621,0.0402725,0.182138,-0.266988,0.0941589,-0.0174809
2.1163,-0.42483,0.0566059,0.154181,0.157031,0.560675,0.0387483,-0.151233,-0.228083,0.184261,0.540379,0.138335,-0.0502772,0.0452691,-0.208209,0.309275,0.0693634
2.02875,-0.478264,-0.038698,0.404859,0.522644,0.810449,0.842937,-0.139332,-0.212293,0.0301835,0.676333,0.019778,-0.0266528,-0.0165723,-0.00828455,0.0505846,-0.0214157
2.45783,-0.561156,-0.135102,-0.107165,0.284609,0.442463,-0.0180143,-0.0994723,-0.293103,0.265867,0.523968,0.16629,0.0498355,0.228671,-0.381187,0.194596,0.180805
1.97352,-0.449685,0.111647,0.0466319,0.445652,0.551071,0.669071,-0.281023,-0.231627,0.217283,0.578613,0.0882517,-0.0589939,0.0858101,-0.138713,0.100225,-0.00950343
1.93797,-0.419432,0.0346184,0.346852,0.481076,0.684328,0.377702,-0.141535,-0.235154,0.106011,0.61804,0.0658228,-0.0267173,0.141842,-0.0692095,0.0735577,-0.0317809
2.01593,-0.478405,-0.00241803,0.101639,0.262207,0.717671,0.139315,-0.116589,-0.192577,0.240367,0.643757,0.184232,0.236959,0.317144,-0.240794,0.247947,0.226278
2.25296,-0.493265,-0.102212,0.216155,0.377134,0.61534,0.212459,-0.139944,-0.308398,0.024662,0.636182,0.0990271,-0.0616175,-0.0190316,-0.221123,0.0151105,-0.0686215
1.96606,-0.240428,0.172255,0.252941,0.14408,0.377682,0.234069,-0.184028,-0.275324,0.119333,0.583469,0.323057,-0.0888695,0.236351,-0.328433,0.300323,-0.0235206
2.06399,-0.372867,0.0458836,-0.0318434,0.423955,0.722765,0.472866,-0.237293,-0.189827,0.166674,0.562809,0.0854681,0.0394415,0.06128,-0.18862,0.203057,-0.0302403
