alpha,public,urban,primary,secondary,tertiary,n_services,log_ID_p_bldgspace,logVisits,logVisitsPP_TB,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
1.15089,-0.31852,0.283302,0.49236,0.379718,-0.0556973,0.147555,0.0422167,-0.258287,-0.421738,0.723923,0.572953,0.365687,0.0358328,-0.417977,-0.0856172,0.0551037
1.3188,-0.381925,0.338187,0.14475,0.430792,-0.0303309,0.198784,0.0990992,-0.334074,-0.437653,0.713402,0.211154,0.202649,0.0890108,-0.296172,0.0263055,0.0254666
1.38918,-0.37273,0.238255,0.129916,0.0513632,-0.0488394,0.138645,-0.00634778,-0.156773,-0.373264,0.71396,0.490423,0.199232,0.28343,-0.181137,0.110468,0.0696071
1.30996,-0.325684,0.270983,0.1528,0.586565,0.22775,0.286101,0.0584481,-0.4104,-0.582169,0.676499,0.0989357,-0.0954015,-0.120898,-0.0917813,-0.25078,-0.0424418
1.22815,-0.358095,0.363042,0.15165,0.47122,0.200526,0.213976,0.0112634,-0.381337,-0.353511,0.673364,0.0634429,-0.0847855,-0.00746081,-0.0528257,-0.0481928,0.00103465
1.03793,-0.276633,0.310944,0.252751,0.502311,-0.117609,0.16413,0.0784971,-0.234017,-0.541166,0.683443,0.327774,0.267589,0.114239,-0.538201,-0.10685,0.212274
1.13429,-0.485311,0.482335,0.471858,0.492286,0.100137,0.228587,0.0351011,-0.386571,-0.51605,0.670276,0.243507,0.122764,0.0367674,-0.150644,-0.0554682,-0.0191442
1.33475,-0.460276,0.211213,0.355052,0.652753,0.0832471,0.200646,0.0536845,-0.319398,-0.535179,0.643963,0.165861,0.237254,-0.0213136,-0.328448,-0.0159596,0.230258
1.22136,-0.352935,0.248691,0.10654,0.258744,0.132502,0.185165,0.137343,-0.263588,-0.455227,0.675957,0.366222,0.241498,0.469895,-0.12129,0.317335,0.301769
0.498477,-0.375004,0.396403,0.188888,0.364752,-0.10704,0.0964127,0.0362401,-0.198408,-0.327409,0.763303,0.485991,0.950788,0.774707,0.174013,0.78964,0.790244
1.09558,-0.245941,0.341207,0.293162,0.407643,0.167741,0.10939,0.11584,-0.262946,-0.433028,0.682821,0.309667,0.243432,0.21386,-0.762518,-0.0318933,0.162339
0.956642,-0.348746,0.354194,0.275416,0.51697,0.0300108,0.249851,0.136573,-0.367425,-0.24187,0.693525,0.419395,0.192206,0.58849,-0.235743,-0.124468,0.205619
1.14338,-0.366643,0.293833,0.370853,0.59888,-0.0930823,0.193783,0.161362,-0.378677,-0.363736,0.685607,0.134602,0.109816,0.00332459,-0.0883749,-0.140177,0.048695
1.02786,-0.406931,0.22057,0.0265367,0.605839,0.0897826,0.0859588,0.0513852,-0.166615,-0.503791,0.730292,0.310206,0.31393,0.591868,-0.115175,0.192092,0.410891
1.34229,-0.301651,0.228596,0.0960641,0.32189,0.256838,0.239993,0.020609,-0.397738,-0.458424,0.698654,0.0366225,0.00884199,-0.0195859,-0.0577057,0.0260977,0.0338528
1.25549,-0.380174,0.192552,0.113721,0.597435,-0.0726309,0.11493,0.0376963,-0.287863,-0.332451,0.597278,0.239178,0.357807,0.32414,-0.510792,0.146027,-0.0409461
1.4069,-0.313119,0.250674,0.0709108,0.569077,-0.250256,0.173936,0.0164136,-0.234168,-0.505023,0.682795,0.358914,-0.119182,0.0677019,-0.431352,-0.0670105,0.192115
1.01572,-0.3081,0.299723,0.081279,0.345727,0.168614,0.312429,0.0617173,-0.372342,-0.300749,0.765663,0.307732,0.340136,0.664786,0.021747,0.260954,0.291687
0.962403,-0.327518,0.470613,0.166707,0.444718,0.571361,0.169788,0.0358597,-0.312207,-0.449179,0.74596,0.0191184,-0.0212508,0.00774279,0.00259955,0.0364526,0.00510177
1.57751,-0.300168,0.0905842,0.2721,0.485975,0.322683,0.302499,0.0766554,-0.333552,-0.322742,0.764503,0.338036,-0.166241,0.287834,-0.545643,-0.355753,-0.112071
1.37234,-0.462581,0.197846,-0.00614617,0.166283,0.26712,0.25127,-0.00319973,-0.342573,-0.656908,0.678077,0.03702,0.00425561,0.0573201,-0.00785669,-0.0451435,0.0487073
1.5186,-0.432962,0.241065,0.304627,0.313299,-0.0712838,0.152382,0.165813,-0.324991,-0.278433,0.753912,0.278021,-0.0807879,0.119641,-0.635959,-0.548306,0.0300284
1.38411,-0.286956,0.296627,0.139796,0.438262,0.511389,0.383323,-0.0127388,-0.414357,-0.312244,0.79606,0.116857,-0.025189,-0.0815889,-0.121101,-0.0444463,-0.086792
1.52646,-0.303088,0.178416,-0.0399737,0.265444,0.0294845,0.0863191,-0.00255448,-0.212777,-0.4568,0.647312,0.229698,-0.0390491,-0.140505,-0.628423,-0.192615,0.00518344
1.23403,-0.377513,0.298936,0.371089,0.485899,0.0271968,0.117575,0.00911039,-0.204207,-0.437589,0.668705,0.252263,0.211785,-0.157904,-0.4765,-0.0351349,-0.0205462
1.21774,-0.337924,0.18995,0.294606,0.647444,0.029611,0.239626,0.076018,-0.377876,-0.530275,0.699973,0.154763,0.160068,0.148966,-0.326407,-0.0457538,0.100164
1.50039,-0.346048,0.374426,0.149517,0.60373,-0.0595542,0.0853075,0.100256,-0.209528,-0.308957,0.682567,0.976131,-0.342769,-0.0941341,-1.03663,-0.341384,-0.305906
1.19681,-0.299487,0.480207,0.14617,0.253964,-0.243347,0.150458,0.087583,-0.224258,-0.359763,0.711709,0.150475,0.371689,-0.135755,-0.469473,-0.163776,0.0497254
1.38395,-0.392095,0.205969,0.343431,0.248703,-0.061435,0.204304,0.0163628,-0.136105,-0.591708,0.826875,0.0641542,-0.058439,0.0936072,-0.0238189,-0.0694183,0.0178028
1.26757,-0.371062,0.428229,0.107881,0.444754,0.0946383,0.391975,0.00429589,-0.319375,-0.380685,0.767063,0.117782,-0.0888398,0.125021,-0.103714,0.0264518,0.0889801
0.967992,-0.281901,0.243726,0.222576,0.51201,0.139037,0.140141,0.168814,-0.305038,-0.575816,0.750389,0.187915,0.29614,0.222801,-0.268507,0.00101875,0.36253
1.42682,-0.402982,0.259466,-0.0282519,0.422927,-0.0675072,0.257374,0.0141326,-0.270837,-0.39082,0.784072,0.132181,0.0472331,0.216464,-0.0567467,-0.092825,0.0306018
0.801968,-0.299996,0.321762,0.437587,0.390627,0.148419,0.182259,0.119416,-0.334633,-0.285681,0.761699,0.584955,0.423735,0.773438,-0.215449,0.166147,0.311745
1.14431,-0.366493,0.256697,0.396921,0.578384,0.616023,0.227376,0.0237005,-0.403004,-0.411416,0.740408,0.15372,0.266551,0.0587173,-0.333557,0.0238882,0.14096
